,P,U_x,U_y,x,y,z,t
0,-42299626223424.54,1136771749687113.2,-10.259403448450097,0.0,0.0,0.0,
1,-46564563198051.81,1307371925555994.2,108817069314858.56,0.0,0.07692307692307693,0.0,
2,-42299626223424.54,1080236870945211.2,-10.17647865537361,0.07692307692307693,0.0,0.0,
3,-46564563198051.81,1240981197966568.8,982151296604.2738,0.07692307692307693,0.07692307692307693,0.0,
4,-42299626223424.54,1026100385909716.8,220904675502047.56,0.0,0.15384615384615385,0.0,
5,-46564563198051.81,1078286738478641.8,1980870086401.0063,0.07692307692307693,0.15384615384615385,0.0,
6,-42299626223424.54,915867074185055.1,-10.0966030694408,0.15384615384615385,0.0,0.0,
7,-46564563198051.81,1053681200616639.8,-106852766721650.19,0.15384615384615385,0.07692307692307693,0.0,
8,-42299626223424.54,970764704021018.6,336262818561555.4,0.0,0.23076923076923078,0.0,
9,-46564563198051.81,915592278990716.2,12854336714951.781,0.07692307692307693,0.23076923076923078,0.0,
10,-42299626223424.54,818277857896938.0,-210434996570967.16,0.15384615384615385,0.15384615384615385,0.0,
11,-46564563198051.81,888416897316631.0,36006883830063.78,0.23076923076923078,0.0,0.0,
12,-42299626223424.54,598138288134905.2,-214687684739903.25,0.23076923076923078,0.07692307692307693,0.0,
13,-46564563198051.81,789664303575954.1,504165278482018.8,0.0,0.3076923076923077,0.0,
14,-42299626223424.54,871976290879697.2,23551826420367.312,0.07692307692307693,0.3076923076923077,0.0,
15,-46564563198051.81,748041777318295.5,-336799120824307.06,0.15384615384615385,0.23076923076923078,0.0,
16,-42299626223424.54,552614216863169.06,-426104832607470.75,0.23076923076923078,0.15384615384615385,0.0,
17,-46564563198051.81,449423612606946.4,49081235572317.25,0.3076923076923077,0.0,0.0,
18,-42299626223424.54,221369192210560.8,-322522602758156.8,0.3076923076923077,0.07692307692307693,0.0,
19,-46564563198051.81,617095096249274.4,655697510548578.9,0.0,0.38461538461538464,0.0,
20,-42299626223424.54,819911145863319.0,37616125206260.31,0.07692307692307693,0.38461538461538464,0.0,
21,-46564563198051.81,595222065669124.8,-436960176117501.1,0.15384615384615385,0.3076923076923077,0.0,
22,-42299626223424.54,507090145591437.5,-634251443602714.2,0.23076923076923078,0.23076923076923078,0.0,
23,-46564563198051.81,183283180663606.75,-684251693249871.0,0.3076923076923077,0.15384615384615385,0.0,
24,-42299626223424.54,-224251824204936.84,-9.549113947213433,0.38461538461538464,0.0,0.0,
25,-46564563198051.81,-233674409996162.3,-430357520776412.75,0.38461538461538464,0.07692307692307693,0.0,
26,-42299626223424.54,804757658354925.4,701960468973993.2,0.0,0.46153846153846156,0.0,
27,-46564563198051.81,427508900526938.4,104723223633124.25,0.07692307692307693,0.46153846153846156,0.0,
28,-42299626223424.54,671894033464773.2,-501558464884991.06,0.15384615384615385,0.38461538461538464,0.0,
29,-46564563198051.81,316637042074962.25,-907522903417253.1,0.23076923076923078,0.3076923076923077,0.0,
30,-42299626223424.54,136862123411743.31,-957756197657460.5,0.3076923076923077,0.23076923076923078,0.0,
31,-46564563198051.81,-356869878129076.25,-912995881028627.4,0.38461538461538464,0.15384615384615385,0.0,
32,-42299626223424.54,-819961293038109.5,-9.29508677900369,0.46153846153846156,0.0,0.0,
33,-46564563198051.81,-904611486388104.4,-538192438794667.0,0.46153846153846156,0.07692307692307693,0.0,
34,-42299626223424.54,749421976466227.4,830400759522777.8,0.0,0.5384615384615385,0.0,
35,-46564563198051.81,264814441039011.88,155095681616688.0,0.07692307692307693,0.5384615384615385,0.0,
36,-42299626223424.54,623099425320721.4,-592058547245021.2,0.15384615384615385,0.46153846153846156,0.0,
37,-46564563198051.81,173692078264556.75,-1118718480632182.1,0.23076923076923078,0.38461538461538464,0.0,
38,-42299626223424.54,94608589012348.62,-1270467189798615.5,0.3076923076923077,0.3076923076923077,0.0,
39,-46564563198051.81,-480065346261974.0,-1385759493442069.0,0.38461538461538464,0.23076923076923078,0.0,
